ImageId,Label
1,1
2,0
3,1
4,4
5,0
6,0
7,7
8,3
9,5
10,3
11,8
12,9
13,1
14,3
15,3
16,1
17,2
18,0
19,7
20,5
21,8
22,6
23,2
24,0
25,2
26,3
27,6
28,9
29,9
30,7
31,8
32,9
33,4
34,9
35,2
36,1
37,3
38,1
39,1
40,4
41,9
42,1
43,4
44,2
45,2
46,6
47,3
48,7
49,7
50,4
51,7
52,5
53,1
54,9
55,0
56,2
57,2
58,3
59,9
60,1
61,1
62,1
63,5
64,0
65,6
66,3
67,4
68,8
69,1
70,0
71,3
72,9
73,6
74,2
75,6
76,4
77,7
78,1
79,4
80,1
81,5
82,4
83,8
84,9
85,2
86,9
87,9
88,8
89,9
90,6
91,3
92,6
93,4
94,6
95,2
96,9
97,1
98,2
99,0
100,5
101,9
102,2
103,7
104,7
105,2
106,8
107,8
108,5
109,0
110,6
111,0
112,0
113,2
114,9
115,0
116,4
117,7
118,7
119,1
120,5
121,7
122,9
123,4
124,6
125,1
126,2
127,7
128,6
129,5
130,0
131,4
132,8
133,2
134,6
135,1
136,8
137,7
138,3
139,7
140,3
141,1
142,0
143,3
144,4
145,5
146,4
147,0
148,5
149,4
150,0
151,3
152,5
153,1
154,0
155,8
156,3
157,7
158,0
159,9
160,6
161,6
162,9
163,5
164,4
165,6
166,9
167,3
168,5
169,4
170,2
171,4
172,8
173,7
174,7
175,5
176,8
177,8
178,8
179,2
180,6
181,9
182,3
183,1
184,0
185,4
186,1
187,5
188,9
189,0
190,6
191,2
192,1
193,3
194,0
195,6
196,0
197,0
198,8
199,3
200,2
201,0
202,0
203,6
204,0
205,0
206,4
207,7
208,2
209,7
210,1
211,9
212,9
213,3
214,9
215,8
216,4
217,6
218,6
219,5
220,3
221,8
222,1
223,8
224,7
225,1
226,3
227,7
228,6
229,3
230,6
231,3
232,6
233,3
234,2
235,3
236,2
237,2
238,7
239,9
240,2
241,3
242,2
243,7
244,5
245,5
246,8
247,8
248,2
249,0
250,1
251,4
252,0
253,6
254,3
255,7
256,1
257,1
258,1
259,4
260,7
261,0
262,2
263,9
264,2
265,0
266,5
267,6
268,0
269,8
270,9
271,6
272,2
273,0
274,0
275,7
276,2
277,0
278,4
279,2
280,0
281,9
282,1
283,6
284,9
285,3
286,0
287,0
288,2
289,0
290,6
291,8
292,4
293,0
294,7
295,2
296,1
297,9
298,5
299,2
300,4
301,8
302,5
303,2
304,9
305,7
306,9
307,2
308,9
309,7
310,4
311,9
312,3
313,2
314,7
315,3
316,6
317,3
318,6
319,8
320,8
321,3
322,7
323,0
324,9
325,2
326,7
327,9
328,0
329,5
330,4
331,5
332,8
333,4
334,3
335,3
336,1
337,7
338,8
339,9
340,7
341,6
342,2
343,1
344,7
345,0
346,5
347,6
348,5
349,2
350,9
351,5
352,4
353,6
354,2
355,2
356,2
357,9
358,0
359,7
360,7
361,2
362,2
363,6
364,3
365,4
366,2
367,0
368,5
369,9
370,6
371,2
372,1
373,9
374,0
375,6
376,0
377,4
378,8
379,4
380,3
381,1
382,5
383,4
384,2
385,9
386,5
387,7
388,3
389,1
390,5
391,4
392,5
393,3
394,7
395,3
396,8
397,6
398,2
399,4
400,6
401,1
402,1
403,4
404,0
405,0
406,5
407,8
408,6
409,7
410,4
411,2
412,8
413,0
414,2
415,5
416,4
417,8
418,3
419,0
420,6
421,4
422,8
423,6
424,4
425,1
426,8
427,1
428,5
429,4
430,9
431,4
432,3
433,2
434,0
435,5
436,0
437,7
438,9
439,2
440,9
441,8
442,9
443,6
444,5
445,2
446,4
447,4
448,6
449,4
450,8
451,4
452,1
453,7
454,5
455,8
456,9
457,5
458,9
459,3
460,2
461,5
462,8
463,2
464,2
465,7
466,2
467,8
468,4
469,1
470,9
471,3
472,6
473,0
474,2
475,2
476,9
477,1
478,2
479,7
480,2
481,1
482,3
483,4
484,9
485,1
486,8
487,0
488,2
489,2
490,3
491,4
492,1
493,3
494,7
495,4
496,1
497,4
498,1
499,5
500,8
501,6
502,9
503,0
504,5
505,7
506,6
507,8
508,2
509,0
510,7
511,3
512,5
513,8
514,2
515,8
516,2
517,4
518,8
519,5
520,8
521,9
522,7
523,1
524,2
525,4
526,5
527,5
528,1
529,8
530,1
531,4
532,4
533,6
534,5
535,8
536,9
537,2
538,3
539,0
540,5
541,1
542,4
543,0
544,5
545,1
546,2
547,9
548,2
549,4
550,1
551,6
552,8
553,0
554,4
555,9
556,0
557,0
558,5
559,9
560,2
561,3
562,5
563,9
564,4
565,4
566,3
567,9
568,2
569,3
570,5
571,6
572,5
573,2
574,7
575,2
576,4
577,2
578,4
579,7
580,2
581,5
582,3
583,7
584,6
585,1
586,0
587,7
588,5
589,4
590,5
591,1
592,6
593,9
594,7
595,1
596,6
597,3
598,3
599,1
600,2
601,2
602,0
603,5
604,0
605,6
606,8
607,3
608,6
609,7
610,7
611,3
612,8
613,1
614,7
615,9
616,3
617,9
618,2
619,8
620,3
621,7
622,4
623,2
624,2
625,3
626,6
627,5
628,0
629,1
630,8
631,6
632,9
633,2
634,1
635,6
636,0
637,2
638,8
639,0
640,8
641,8
642,0
643,1
644,2
645,7
646,1
647,4
648,8
649,1
650,4
651,4
652,5
653,1
654,8
655,7
656,7
657,9
658,7
659,0
660,6
661,9
662,4
663,5
664,6
665,2
666,5
667,7
668,4
669,7
670,2
671,3
672,0
673,8
674,4
675,8
676,0
677,0
678,9
679,7
680,2
681,9
682,8
683,2
684,1
685,6
686,5
687,9
688,1
689,1
690,9
691,7
692,7
693,8
694,6
695,4
696,7
697,5
698,3
699,1
700,6
701,4
702,5
703,7
704,4
705,1
706,8
707,3
708,5
709,1
710,7
711,1
712,1
713,8
714,6
715,4
716,3
717,8
718,3
719,1
720,2
721,8
722,9
723,0
724,9
725,1
726,2
727,3
728,3
729,0
730,3
731,0
732,2
733,0
734,3
735,3
736,8
737,3
738,5
739,7
740,0
741,5
742,9
743,0
744,5
745,9
746,1
747,5
748,1
749,1
750,2
751,6
752,5
753,5
754,4
755,5
756,1
757,6
758,0
759,2
760,2
761,8
762,0
763,7
764,1
765,0
766,8
767,5
768,6
769,3
770,2
771,9
772,4
773,3
774,6
775,0
776,3
777,4
778,1
779,5
780,9
781,3
782,0
783,5
784,0
785,6
786,2
787,7
788,6
789,6
790,6
791,9
792,6
793,7
794,8
795,2
796,0
797,6
798,0
799,8
800,8
801,5
802,3
803,6
804,7
805,4
806,3
807,9
808,7
809,2
810,0
811,4
812,7
813,2
814,2
815,8
816,2
817,7
818,0
819,4
820,0
821,5
822,2
823,8
824,7
825,7
826,9
827,1
828,4
829,0
830,1
831,1
832,2
833,3
834,6
835,2
836,0
837,6
838,6
839,1
840,9
841,4
842,5
843,2
